Card,Category,Public URL,Card page,QR code
"BQ TimberLock Accoya Pergola","Pergolas & Outdoor Structures","https://buildquote.com.au/manufacturers/bq-timberlock/system-cards/cards/accoya-pergola/","cards/accoya-pergola/index.html","cards/accoya-pergola/qr-code.png"
"BQ TimberLock Glulam Hardwood Pergola","Pergolas & Outdoor Structures","https://buildquote.com.au/manufacturers/bq-timberlock/system-cards/cards/glulam-hardwood-pergola/","cards/glulam-hardwood-pergola/index.html","cards/glulam-hardwood-pergola/qr-code.png"
