Card,Category,Public URL,Card page,QR code
"Custom Hoodee","Window Hood","https://www.hoodee.com.au/system-cards/cards/custom-hoodee/","cards/custom-hoodee/index.html","cards/custom-hoodee/qr-code.png"
"Hoodee J Hood","Window Hood","https://www.hoodee.com.au/system-cards/cards/hoodee-j-hood/","cards/hoodee-j-hood/index.html","cards/hoodee-j-hood/qr-code.png"
"Hoodee U Hood","Window Hood","https://www.hoodee.com.au/system-cards/cards/hoodee-u-hood/","cards/hoodee-u-hood/index.html","cards/hoodee-u-hood/qr-code.png"
"Hoodee R Hood","Window Hood","https://www.hoodee.com.au/system-cards/cards/hoodee-r-hood/","cards/hoodee-r-hood/index.html","cards/hoodee-r-hood/qr-code.png"
"Hoodee L Hood","Window Hood","https://www.hoodee.com.au/system-cards/cards/hoodee-l-hood/","cards/hoodee-l-hood/index.html","cards/hoodee-l-hood/qr-code.png"
"Hoodee B Hood","Window Hood","https://www.hoodee.com.au/system-cards/cards/hoodee-b-hood/","cards/hoodee-b-hood/index.html","cards/hoodee-b-hood/qr-code.png"
